代码,名称,时间,每股收益,每股净资产,净资产收益率,资产负债率,流动比率,总资产周转率,yield
000547.SZ,航天发展,2018/3/31,0.06,3.83,1.47,22.6,2.54,0.0688,-26.7
000548.SZ,湖南投资,2018/3/31,0.006,3.3,0.19,20.7,2.21,0.0274,-29.3
000550.SZ,江铃汽车,2018/3/31,0.18,12.4,1.32,52.8,1.25,0.264,-18.8
000551.SZ,创元科技,2018/3/31,0.05,4.07,1.16,48.8,1.42,0.171,-20.2
000552.SZ,靖远煤电,2018/3/31,0.0815,3.12,2.66,28.2,1.93,0.121,-3.21
000553.SZ,安道麦A,2018/3/31,0.831,8.3,10.4,49,2.18,0.164,11.1
000554.SZ,泰山石油,2018/3/31,4.00E-04,1.91,0.0229,23,0.838,0.591,-17.8
000555.SZ,神州信息,2018/3/31,0.0306,5.11,0.601,47.7,1.45,0.218,-19.6
000557.SZ,西部创业,2018/3/31,0.0148,2.77,0.534,19.2,1.01,0.0333,-29.2
000558.SZ,莱茵体育,2018/3/31,0.0082,1.03,0.791,45.3,1.26,0.0228,-19.6
000559.SZ,万向钱潮,2018/3/31,0.09,1.92,4.78,52,1.39,0.249,-20
000560.SZ,我爱我家,2018/3/31,0.0834,5.26,1.69,42.3,1.5,0.147,-4.97
000561.SZ,烽火电子,2018/3/31,-0.03,2.09,-1.51,50.1,1.72,0.0637,-22.3
000563.SZ,陕国投A,2018/3/31,0.0396,2.6,1.53,14.8,0,0.0287,-13.5
000564.SZ,*ST大集,2018/3/31,0.0311,5.09,0.613,44,1.63,0.0865,0
000565.SZ,渝三峡A,2018/3/31,0.03,2.43,1.05,28.8,2.52,0.0989,-30.6
000566.SZ,海南海药,2018/3/31,0.05,3.62,1.49,51.6,1.94,0.0626,0
000567.SZ,海德股份,2018/3/31,0.152,9.13,1.06,43.9,2.84,0.0155,-38.8
000568.SZ,泸州老窖,2018/3/31,0.723,11.2,6.71,17.8,4.13,0.169,7.24
000570.SZ,苏常柴A,2018/3/31,0.02,3.96,0.508,39.5,1.68,0.16,-18.5
000571.SZ,ST大洲,2018/3/31,0.0224,2.72,0.83,43,0.839,0.0813,-16
000572.SZ,海马汽车,2018/3/31,-0.0525,3.92,-1.33,43.6,0.905,0.112,-15.1
000573.SZ,粤宏远A,2018/3/31,-0.0188,2.58,-0.724,48.1,2.82,0.0206,-23.1
000576.SZ,甘化科工,2018/3/31,0.0034,2.3,0.146,4.55,14.9,0.0675,-12.7
000581.SZ,威孚高科,2018/3/31,0.78,15.5,5.15,23.9,2.74,0.115,-1.95
000582.SZ,北部湾港,2018/3/31,0.107,5.26,2.12,45.4,0.661,0.063,-10.7
000584.SZ,哈工智能,2018/3/31,0.0459,2.64,1.75,56.7,1.53,0.142,5.79E-07
000585.SZ,*ST东电,2018/3/31,-0.0053,-0.229,0,166,0.387,0.0157,-41.7
000586.SZ,汇源通信,2018/3/31,-0.023,1.2,-1.9,51.9,1.71,0.132,-24.7
000587.SZ,*ST金洲,2018/3/31,0.05,4.48,1.06,73.4,0.977,0.118,-30.1
000589.SZ,贵州轮胎,2018/3/31,0.01,4.3,0.125,66.7,0.839,0.167,-21.5
000590.SZ,启迪药业,2018/3/31,0.0228,2.46,0.931,30.3,3.74,0.0689,-21.2
000591.SZ,太阳能,2018/3/31,0.0472,4.07,1.17,60.5,1.21,0.0267,-21.7
000592.SZ,平潭发展,2018/3/31,-0.0026,1.64,-0.158,18.8,4.49,0.0394,-33
000593.SZ,大通燃气,2018/3/31,-0.016,3.08,-0.52,34.4,2.14,0.0844,-24.9
